drug,brand_name,type
CERITINIB,ZYKADIA,TARGETED
CRIZOTINIB,XALKORI,TARGETED
DABRAFENIB MESYLATE,TAFINLAR,TARGETED
DACOMITINIB,VIZIMPRO,TARGETED
ENTRECTINIB,ROZLYTREK,TARGETED
ERLOTINIB HYDROCHLORIDE,TARCEVA,TARGETED
GEFITINIB,IRESSA,TARGETED
LAZERTINIB MESYLATE HYDRATE,LAZCLUZE,TARGETED
LORLATINIB,LORBRENA,TARGETED
OSIMERTINIB MESYLATE,TAGRISSO,TARGETED
PRALSETINIB,GAVRETO,TARGETED
REPOTRECTINIB,AUGTYRO,TARGETED
SELPERCATINIB,RETEVMO,TARGETED
TARLATAMAB-DLLE,IMDELLTRA,TARGETED
TEPOTINIB HYDROCHLORIDE,TEPMETKO,TARGETED
TRAMETINIB DIMETHYL SULFOXIDE,MEKINIST,TARGETED
ZENOCUTUZUMAB-ZBCO,BIZENGRI,TARGETED
ACALABRUTINIB MALEATE MONOHYDRATE,CALQUENCE,TARGETED
BELINOSTAT,BELEODAQ,TARGETED
BEXAROTENE,TARGRETIN,TARGETED
BORTEZOMIB,VELCADE,TARGETED
DENILEUKIN DIFTITOX,LYMPHIR,TARGETED
LONCASTUXIMAB TESIRINE-LPYL,ZYNLONTA,TARGETED
PRALATREXATE,FOLOTYN,TARGETED
ROMIDEPSIN,ISTODAX,TARGETED
SELINEXOR,XPOVIO,TARGETED
SILTUXIMAB,SYLVANT,TARGETED
TAZEMETOSTAT HYDROBROMIDE,TAZVERIK,TARGETED
VORINOSTAT,ZOLINZA,TARGETED
CARFILZOMIB,KYPROLIS,TARGETED
DARATUMUMAB AND HYALURONIDASE-FIHJ,DARZALEX FASPRO,TARGETED
ELRANATAMAB-BCMM,ELREXFIO,TARGETED
IXAZOMIB CITRATE,NINLARO,TARGETED
TALQUETAMAB-TGVS,TALVEY,TARGETED
FEDRATINIB HYDROCHLORIDE,INREBIC,TARGETED
IMETELSTAT SODIUM,RYTELO,TARGETED
MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,OJJAARA,TARGETED
PACRITINIB CITRATE,VONJO,TARGETED
RUXOLITINIB PHOSPHATE,JAKAFI,TARGETED
NIRAPARIB TOSYLATE MONOHYDRATE,ZEJULA,TARGETED
RUCAPARIB CAMSYLATE,RUBRACA,TARGETED
SELUMETINIB SULFATE,KOSELUGO,TARGETED
CABAZITAXEL,JEVTANA,TARGETED
LEUPROLIDE ACETATE,LUPRON DEPOT ELIGARD,TARGETED
LUTETIUM LU 177 VIPIVOTIDE TETRAXETAN,PLUVICTO,TARGETED
NIRAPARIB TOSYLATE MONOHYDRATE AND ABIRATERONE ACETATE,AKEEGA,TARGETED
RADIUM 223 DICHLORIDE,XOFIGO,TARGETED
ALITRETINOIN,PANRETIN,TARGETED
COBIMETINIB FUMARATE,COTELLIC,TARGETED
SONIDEGIB,ODOMZO,TARGETED
VISMODEGIB,ERIVEDGE,TARGETED
VEMURAFENIB,ZELBORAF,TARGETED
NIROGACESTAT HYDROBROMIDE,OGSIVEO,TARGETED
SIROLIMUS PROTEIN-BOUND PARTICLES,FYARRO,TARGETED
LAROTRECTINIB SULFATE,VITRAKVI,TARGETED
CABOZANTINIB-S-MALATE,COMETRIQ,TARGETED
VANDETANIB,CAPRELSA,TARGETED
