"","Leukemia","Mature B-Cell Neoplasms","Other Cancer","Mastocytosis","Breast Cancer","Lung Cancer","Head and Neck Cancer","Bone Cancer","Pancreatic Cancer","Bladder/Urinary Tract Cancer","Colorectal Cancer","Gastrointestinal Stromal Tumor","Other Neuroendocrine","Cervical Cancer","Prostate Cancer","Hodgkin Lymphoma","Esophageal/Stomach Cancer","Hepatobiliary Cancer","Thyroid Cancer","Myelodysplastic Syndromes","Kidney Cancer","Glioma","Histiocytosis","Ovarian/Fallopian Tube Cancer","Non-Hodgkin Lymphoma","Melanoma","Soft Tissue Cancer","Mature T and NK Neoplasms","CNS/Brain Cancer","Thymic Tumor","Uterine Cancer","Bowel Cancer","Adrenal Gland Cancer","Soft Tissue Sarcoma","Adrenocortical Carcinoma","Anal Cancer","Sellar Tumor","Medulloblastoma","Endometrial Cancer","Liver Cancer","Salivary Gland Cancer","Testicular Cancer","Non-Melanoma Skin Cancer","Skin Cancer","Germ Cell Tumor","Uterine Sarcoma","Appendiceal Cancer","Peritoneal Cancer NOS","Mesothelioma","Peripheral Nervous System Cancer","Ampullary Cancer","Biliary Tract Cancer","Small Bowel Cancer","Vulvar/Vaginal Cancer","Nerve Sheath Tumor","Eye Cancer","Penile Cancer","Angiomatoid Fibrous Histiocytoma","Carcinoma of Unknown Primary","Breast Sarcoma","Rhabdoid Cancer","Gestational Trophoblastic Disease","Myelodysplastic/Myeloproliferative Neoplasms","Melanocytoma"
"Soft Tissue Sarcoma",8,3,329,0,15,36,20,1015,4,3,9,44,2,3,5,7,15,18,2,2,30,65,0,4,1,14,15,0,36,0,11,0,2,0,0,1,0,0,0,0,1,0,1,4,1,10,0,9,1,6,0,0,1,0,2,2,0,4,0,0,0,0,0,0
"Adrenocortical Carcinoma",1,1,94,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anal Cancer",0,1,64,0,12,7,0,1,2,2,106,3,1,1,8,7,0,4,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Sellar Tumor",12,16,47,0,9,6,3,1,2,1,1,0,16,0,0,8,0,1,9,1,4,3,3,0,0,5,2,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medulloblastoma",2,1,56,0,0,0,1,16,0,0,0,0,8,0,1,1,0,0,0,2,2,7,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endometrial Cancer",5,7,329,0,63,27,2,10,3,2,18,1,3,72,3,5,7,18,7,5,5,2,1,170,0,7,4,0,1,1,168,0,0,0,0,1,0,0,0,0,1,0,0,1,7,4,1,24,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0
"Liver Cancer",0,0,15,0,0,2,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Salivary Gland Cancer",7,1,130,0,9,29,12,6,0,0,3,0,1,0,3,3,1,3,1,1,0,0,0,2,2,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Testicular Cancer",2,2,113,0,0,5,1,5,0,1,0,0,3,0,7,32,3,1,1,0,1,0,0,1,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Non-Melanoma Skin Cancer",22,14,138,0,12,8,9,4,0,0,1,0,0,0,12,12,1,2,3,9,3,0,0,0,5,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,130,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Skin Cancer",53,29,241,0,25,22,25,50,2,1,3,0,0,2,11,27,4,4,3,3,9,0,3,5,2,56,29,7,3,1,0,0,0,4,1,1,2,0,1,0,1,0,130,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Germ Cell Tumor",11,1,177,0,27,19,0,18,0,1,4,0,5,1,0,2,1,1,0,1,1,5,2,11,1,4,0,0,9,0,0,0,0,1,0,0,1,0,7,0,0,32,0,0,0,3,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,18,0,0
"Uterine Sarcoma",0,0,59,0,1,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,10,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Appendiceal Cancer",2,1,97,0,2,1,0,1,2,0,45,4,2,0,0,1,5,4,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Peritoneal Cancer NOS",4,3,229,0,32,35,1,30,9,2,44,11,8,14,5,2,11,23,2,0,15,0,0,1257,0,4,3,0,0,1,14,1,1,9,0,0,0,0,24,0,0,1,0,2,1,0,20,0,4,16,0,0,3,4,0,0,0,0,4,0,0,0,0,0
"Mesothelioma",1,1,81,0,6,50,2,10,1,2,1,2,0,0,2,5,3,2,0,0,4,0,0,3,0,3,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Peripheral Nervous System Cancer",27,2,220,0,0,0,0,16,1,0,0,0,4,0,1,19,0,3,0,2,16,0,16,0,9,1,2,1,7,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ampullary Cancer",0,1,29,0,2,8,0,1,6,0,1,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Biliary Tract Cancer",0,0,6,0,0,0,0,0,3,2,0,1,2,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Small Bowel Cancer",7,1,176,0,4,11,0,2,20,2,33,17,56,0,0,16,6,12,0,0,3,0,0,5,0,3,0,0,2,1,1,3,0,1,0,0,0,0,1,8,1,0,0,0,0,0,4,3,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
"Vulvar/Vaginal Cancer",2,0,57,0,3,5,1,5,1,2,3,2,3,11,0,0,0,1,0,0,2,0,0,7,0,5,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nerve Sheath Tumor",0,0,4,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eye Cancer",0,2,10,0,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penile Cancer",2,1,18,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angiomatoid Fibrous Histiocytoma",0,0,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carcinoma of Unknown Primary",1,2,57,0,4,14,3,1,1,1,1,0,2,1,1,2,0,4,0,0,4,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Breast Sarcoma",0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhabdoid Cancer",0,0,12,0,0,1,0,0,4,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gestational Trophoblastic Disease",0,0,41,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myelodysplastic/Myeloproliferative Neoplasms",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melanocytoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
